Experiment ID,Regime Type,Regime,Days,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Like,Average Daily Return,Win Rate
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,overall,all_days,1583,48.54%,6.50%,10.28%,0.632,0.0271%,22.05%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,volatility_regime,high_volatility,575,0.00%,0.00%,0.00%,0.000,0.0000%,0.00%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,volatility_regime,low_volatility,737,48.54%,14.49%,15.06%,0.962,0.0582%,47.35%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,trend_regime,downtrend,309,0.00%,0.00%,0.00%,0.000,0.0000%,0.00%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,trend_regime,uptrend,1003,48.54%,10.45%,12.91%,0.810,0.0428%,34.80%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,combined_regime,high_volatility_downtrend,248,0.00%,0.00%,0.00%,0.000,0.0000%,0.00%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,combined_regime,high_volatility_uptrend,327,0.00%,0.00%,0.00%,0.000,0.0000%,0.00%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,combined_regime,low_volatility_downtrend,61,0.00%,0.00%,0.00%,0.000,0.0000%,0.00%
EXP-005_QQQ_DAILY_MOMENTUM_LOW_VOL_UPTREND_FILTER,combined_regime,low_volatility_uptrend,676,48.54%,15.89%,15.72%,1.011,0.0635%,51.63%
