Experiment ID,Regime Type,Regime,Days,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Like,Average Daily Return,Win Rate
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,overall,all_days,1581,210.98%,19.82%,24.98%,0.794,0.0842%,56.04%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,volatility_regime,high_volatility,573,49.96%,19.51%,27.34%,0.714,0.0855%,53.58%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,volatility_regime,low_volatility,737,41.47%,12.59%,17.63%,0.714,0.0533%,55.77%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,trend_regime,downtrend,309,1.11%,0.91%,33.44%,0.027,0.0256%,48.54%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,trend_regime,uptrend,1001,109.82%,20.51%,17.66%,1.161,0.0803%,56.74%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,combined_regime,high_volatility_downtrend,248,11.00%,11.19%,34.90%,0.321,0.0660%,49.19%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,combined_regime,high_volatility_uptrend,325,35.10%,26.27%,19.76%,1.329,0.1003%,56.92%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,combined_regime,low_volatility_downtrend,61,-8.91%,-31.99%,26.76%,-1.195,-0.1388%,45.90%
EXP-001_QQQ_BUY_AND_HOLD_REGIME_BASELINE,combined_regime,low_volatility_uptrend,676,55.31%,17.84%,16.57%,1.077,0.0706%,56.66%
